Method Name,Class/Component/Service Name,Purpose,Internal Working,Real-Time Usage Scenario,Example Usage
bootstrapApplication(),main.ts,Initializes the Angular application with root component and config,"Creates the platform, initializes DI injector, renders root component, sets up providers",Called once when the app loads in the browser,"bootstrapApplication(App, appConfig).catch(err => console.error(err));"
constructor(),All Components/Services,Class instantiation and dependency injection,"Called by Angular's DI system when creating an instance. Injects dependencies listed in parameters.",Used to inject services into components,"constructor(private http: HttpClient, private router: Router) { }"
ngOnInit(),CustomerListComponent / UpdateCustomerComponent,Initialization logic after Angular sets up data bindings,"Called once after the first ngOnChanges(). Component inputs are available. Safe to make API calls.",Loading initial data from API when component is displayed,"ngOnInit() { this.loadCustomers(); }"
ngOnDestroy(),Component (should be used),Cleanup before component is destroyed,"Called once before Angular destroys the component. Used to unsubscribe from Observables, clear timers.",Preventing memory leaks by unsubscribing from subscriptions,"ngOnDestroy() { this.destroy$.next(); this.destroy$.complete(); }"
ngOnChanges(),Component (not used in project),React to @Input property changes,"Called before ngOnInit and whenever one or more @Input properties change. Receives SimpleChanges object.",Parent passes new data to child component via @Input,"ngOnChanges(changes: SimpleChanges) { if (changes['userId']) { this.loadUser(); } }"
ngAfterViewInit(),Component (not used in project),Logic after the component's view is fully initialized,"Called once after the view (including child views) is initialized. DOM elements are available.",Initializing third-party libraries that need DOM elements,"ngAfterViewInit() { this.chart = new Chart(this.chartRef.nativeElement); }"
inject(),AddCustomerComponent / GetCustomerComponent / AskAgentComponent,Modern DI function to inject dependencies without constructor,"Calls Angular's injector to resolve the dependency. Works in component class fields, guard functions, interceptor functions.",Injecting services in standalone components,"private customerService = inject(CustomerService);"
signal(),App / AskAgentComponent,Create reactive state using Angular Signals,"Creates a reactive primitive that notifies consumers when its value changes. Triggers change detection on update.",Managing component state reactively without RxJS,"protected readonly title = signal('CustomerApp'); messages = signal<Message[]>([]);"
get(),HttpClient (via CustomerService),Make HTTP GET request to retrieve data,"Creates an Observable that makes a GET request when subscribed. Returns Observable<T>.",Fetching customer list or single customer from backend API,"this.http.get<Customer[]>(`${this.apiUrl}/getAllCustomers`)"
post(),HttpClient (via CustomerService),Make HTTP POST request to send data,"Creates an Observable that makes a POST request with a body. Returns Observable<T>.",Creating a new customer or sending agent questions,"this.http.post(url, payload, { responseType: 'text' })"
put(),HttpClient (via CustomerService),Make HTTP PUT request to update data,"Creates an Observable that makes a PUT request with a body. Returns Observable<T>.",Updating existing customer details,"this.http.put(url, payload, { responseType: 'text' })"
delete(),HttpClient (via CustomerService),Make HTTP DELETE request to remove data,"Creates an Observable that makes a DELETE request. Returns Observable<T>.",Deleting a customer record,"this.http.delete(`${this.apiUrl}/deleteCustomerById/${id}`, { responseType: 'text' })"
subscribe(),Observable (all components),Subscribe to an Observable to receive emitted values,"Starts execution of the Observable. Receives next, error, and complete callbacks. Returns Subscription.",Handling API responses in components,"observable.subscribe({ next: (data) => {}, error: (err) => {}, complete: () => {} })"
pipe(),Observable (CustomerService),Chain RxJS operators to transform Observable data,"Creates a new Observable by applying operators sequentially. Each operator receives and returns an Observable.",Transforming API responses before they reach the component,"this.http.get(url).pipe(map(data => transform(data)), tap(data => cache(data)))"
map(),RxJS Operator (CustomerService),Transform each emitted value in the Observable stream,"Applies a function to each value and emits the result. Does not change the number of emissions.",Converting backend VO objects to frontend Customer model,"map(vos => vos.map(vo => this.mapVoToCustomer(vo)))"
tap(),RxJS Operator (CustomerService),Perform side effects without modifying the stream,"Executes a function for each emission but passes the original value through unchanged.",Caching API response data and clearing cache after mutations,"tap(customers => { this.customersCache$.next(customers); })"
catchError(),RxJS Operator (UpdateCustomerComponent),Handle errors in the Observable stream,"Catches errors from the source Observable and returns a new Observable or throws.",Providing fallback logic when primary API call fails,"catchError(() => this.customerService.getCustomers().pipe(map(c => c.find(x => x.id === id))))"
timeout(),RxJS Operator (UpdateCustomerComponent),Fail if Observable doesn't emit within time limit,"Starts a timer when subscribed. If no emission within the specified time, throws a TimeoutError.",Setting max wait time for API response before using fallback,"this.customerService.getCustomerById(id).pipe(timeout(3000))"
